Address,Lat,Long,Provider,bank_name,institution,transit,routing
"530 rue Sacre-Coeur Ouest, Alma, QC G8B 1L9",48.5497107862261,-71.6502402963351,arcgis,BANK OF MONTREAL,1,1805,101805
"Grand Falls, 291 BROADWAY, Grand Falls, NB E3Z 2K1",47.0470336950603,-67.7412357310491,arcgis,BANK OF MONTREAL,1,1814,101814
"99 Provost Street, New Glasgow, NS B2H 5E1",45.5884190116024,-62.6448820264288,arcgis,BANK OF MONTREAL,1,1823,101823
"St-Sacrement, 1375, chemin Ste-Foy, Quebec, QC G1S 2N2",46.7941909873831,-71.2551990203816,arcgis,BANK OF MONTREAL,1,1845,101845
"Haute-Ville, 125 chemin Ste-Foy, Quebec, QC G1R 1T1",46.8054985938619,-71.2290488235788,arcgis,BANK OF MONTREAL,1,1855,101855
"Avenue Cartier, 125 chemin Ste-Foy, Quebec, QC G1R 1T1",46.8054985938619,-71.2290488235788,arcgis,BANK OF MONTREAL,1,1865,101865
"500 Grande Allee Est, Quebec, QC G1R 2J7",46.8053962927337,-71.2196460045966,arcgis,BANK OF MONTREAL,1,1875,101875
"St-Georges de Beauce, 11980, 1re avenue est, Saint-Georges de Beauce, QC G5Y 2E1",46.11987,-70.6723,arcgis,BANK OF MONTREAL,1,1895,101895
"Alma, 530, rue Sacre-Coeur ouest, Alma, QC G8B 1L9",48.5497107862261,-71.6502402963351,arcgis,BANK OF MONTREAL,1,1905,101905
"St-Lambert, 500, Av. Victoria, Saint-Lambert, QC J4P 2J5",45.5015140145559,-73.5110180235985,arcgis,BANK OF MONTREAL,1,1921,101921
"Saint-Laurent, 637, boul. Decarie, Saint-Laurent, QC H4L 3L3",45.5099859812809,-73.6755780008042,arcgis,BANK OF MONTREAL,1,1931,101931
"Sept-Iles, 390, rue Brochu, Sept-Iles, QC G4R 2W6",50.2052879986378,-66.3834970008505,arcgis,BANK OF MONTREAL,1,1941,101941
"110 Rue Principale, C.P. 10, Cookshire, QC J0B 1M0",45.2665624792066,-71.5126434767212,arcgis,BANK OF MONTREAL,1,1951,101951
"362 Main St., Shediac, NB E4P 2E8",46.2197707808669,-64.5426936003113,arcgis,BANK OF MONTREAL,1,1964,101964
"15 Market Square, Saint John, NB E2L 1E8",45.2732032934545,-66.0628965804646,arcgis,BANK OF MONTREAL,1,1994,101994
"St-Stephen, 67 Milltown Blvd., St. Stephen, NB E3L 1G4",45.1926710154827,-67.2786166180291,arcgis,BANK OF MONTREAL,1,2014,102014
"1324, Boul. Talbot, Chicoutimi, QC G7H 4B8",48.4064710179374,-71.0585419698891,arcgis,BANK OF MONTREAL,1,2025,102025
"Ville Mount-Royal, 1625, boul. Graham, Mount-Royal, QC H3R 1G7",45.5155954861621,-73.6447787814051,arcgis,BANK OF MONTREAL,1,2031,102031
"37 Commercial St., Truro, NS B2N 3H8",45.3659391195355,-63.2863064963773,arcgis,BANK OF MONTREAL,1,2043,102043
"Beatty et Verdun, 5651, av. Verdun, Verdun, QC H4H 1L6",45.4506405142372,-73.5726893011353,arcgis,BANK OF MONTREAL,1,2051,102051
"Wolfville, 424 Main St., Wolfville, NS B4P 1C9",45.0916659809145,-64.3616099582806,arcgis,BANK OF MONTREAL,1,2063,102063
"656 Main Street, Woodstock, NB E7M 2G9",46.1504547047198,-67.5729385984936,arcgis,BANK OF MONTREAL,1,2074,102074
"633 Main Street, Moncton, NB E1C 8P7",46.0895597171455,-64.7749615017208,arcgis,BANK OF MONTREAL,1,2084,102084
"Beatty et Verdun, 5651, rue de Verdun, 5651 avenue Verdun, Montreal, QC H4H 1L6",45.4506405142372,-73.5726893011353,arcgis,BANK OF MONTREAL,1,2091,102091
